analog0
22
34
30
27
24
24
30
32
29
27
29
30
28
27
28
28
26
25
28
28
28
31
35
35
33
29
28
28
28
32
32
30
27
30
31
28
25
25
29
29
28
27
28
33
34
32
32
30
28
26
33
40
40
40
46
46
41
35
35
36
37
35
35
32
32
36
37
43
52
77
76
76
73
72
90
102
97
83
83
83
83
72
61
53
47
57
79
79
73
65
72
94
85
75
75
62
62
55
50
47
43
36
34
34
35
35
34
31
32
30
30
32
32
36
39
36
36
36
34
34
34
37
34
35
36
32
32
32
32
34
34
41
36
35
31
31
27
27
26
25
28
30
31
30
30
35
36
38
37
36
38
38
48
43
46
126
125
103
87
83
83
76
75
67
63
54
55
66
69
61
61
55
67
71
63
54
54
52
49
43
38
34
32
30
30
28
31
32
29
28
30
30
30
30
29
31
29
27
26
31
31
30
30
30
27
26
32
28
28
27
27
29
32
33
34
33
33
33
35
37
38
38
40
42
42
48
48
43
50
46
46
44
51
51
65
64
60
69
68
60
58
50
50
49
52
63
62
52
64
64
60
65
59
65
79
101
98
81
81
67
60
56
54
55
54
54
52
52
48
41
38
33
34
32
32
39
37
35
34
33
32
32
29
30
30
33
36
32
32
30
30
35
37
37
39
37
41
40
40
39
40
48
45
43
39
39
39
39
44
43
41
49
46
39
39
41
40
38
35
35
36
38
39
39
38
37
38
34
42
51
46
46
48
49
43
43
39
37
37
35
32
33
40
35
43
42
40
40
41
37
34
36
40
38
50
52
52
49
49
48
45
45
51
51
45
40
41
37
42
38
36
36
36
33
34
34
32
32
32
32
32
31
31
29
30
33
32
34
34
40
38
38
37
36
41
43
43
43
38
82
123
108
105
105
94
85
120
143
144
174
222
196
196
190
181
167
176
175
152
125
125
111
95
86
78
76
77
67
67
62
53
45
41
41
39
37
37
43
41
41
37
35
41
42
40
40
37
40
46
45
41
37
37
35
33
32
30
29
31
30
30
28
26
28
27
32
33
34
35
35
40
40
44
41
36
37
41
41
45
43
46
40
42
37
37
36
35
36
36
33
32
32
32
32
32
33
33
32
34
34
32
32
40
40
