time,analog0
9249,0.36
9253,0.24
9454,0.26
9658,0.21
9856,0.24
10057,0.35
10257,0.83
10457,0.45
10657,0.59
10857,0.57
11053,0.46
11257,0.41
11457,0.42
11657,0.42
11853,0.29
12056,0.38
12253,0.42
12456,0.26
12658,0.28
