time,analog0
160,0.05
163,0.05
365,0.05
568,0.05
764,0.3
963,0.37
165,0.61
368,0.56
569,0.25
764,0.31
964,0.9
165,0.33
364,0.22
563,0.18
764,0.23
967,0.29
164,0.17
365,0.15
563,0.14
764,0.15
964,0.15
