analog0
0.16
0.23
0.23
0.25
0.22
0.24
0.36
0.33
0.44
0.7
0.86
0.46
0.28
0.4
0.29
0.27
0.72
0.79
1.23
0.69
0.76
0.59
0.5
0.39
0.25
0.19
0.23
0.26
0.19
0.28
0.41
1.29
1.25
0.75
0.34
0.27
0.28
0.31
0.32
0.23
0.17
0.2
