analog0
0.1
0.23
0.3
0.37
0.24
0.19
0.25
0.3
0.31
0.4
0.32
0.36
0.32
0.47
0.78
0.62
0.26
0.26
0.28
0.21
0.33
0.19
0.23
0.26
0.43
0.36
0.35
0.48
0.6
0.51
0.3
0.29
0.41
0.74
0.8
0.95
1.38
1.54
0.77
0.39
0.31
0.74
2.06
1.52
0.31
0.27
0.28
0.24
0.14
0.15
0.19
0.21
0.32
