time,analog0
341,0.05
344,0.05
547,0.05
747,0.05
949,0.05
145,0.05
347,0.85
546,0.67
749,0.57
950,0.83
145,1.2
345,1.91
549,2.26
749,2.85
950,2.52
149,2.18
345,2.14
545,1.83
749,3.62
950,2.74
147,2.82
349,1.93
548,0.84
749,0.33
944,0.27
149,0.3
347,0.26
549,0.29
746,0.24
950,0.14
146,0.08
345,0.09
545,0.06
745,0.07
946,0.05
149,0.06
346,0.06
548,0.05
